Class Nbr,Subj,CRS,Course Title,SBC,Cmp,Sctn,Credits,Days,Start Time,End Time,Room,Instructor
95434,CSE,487,Research in Computer Science,,TUT,T90,0 to 6,APPT,1:00 AM,1:00 AM,,Arthur Lee
95506,CSE,487,Research in Computer Science,,TUT,T91,0 to 6,APPT,1:00 AM,1:00 AM,,Jihoon Ryoo
95439,CSE,487,Research in Computer Science,,TUT,T92,0 to 6,APPT,1:00 AM,1:00 AM,,TBA
95433,CSE,487,Research in Computer Science,,TUT,T93,0 to 6,APPT,1:00 AM,1:00 AM,,AMOS OMONDI
95507,CSE,487,Research in Computer Science,,TUT,T94,0 to 6,APPT,1:00 AM,1:00 AM,,Chi Him Wong
95503,CSE,487,Research in Computer Science,,TUT,T95,0 to 6,APPT,1:00 AM,1:00 AM,,YoungMin Kwon
95437,CSE,487,Research in Computer Science,,TUT,T96,0 to 6,APPT,1:00 AM,1:00 AM,,Byungkon Kang
95435,CSE,487,Research in Computer Science,,TUT,T97,0 to 6,APPT,1:00 AM,1:00 AM,,Antonino Mione
95436,CSE,487,Research in Computer Science,,TUT,T98,0 to 6,APPT,1:00 AM,1:00 AM,,Alexander Kuhn
95508,CSE,487,Research in Computer Science,,TUT,T99,0 to 6,APPT,1:00 AM,1:00 AM,,TBA
95658,CSE,502,Computer Architecture,,LEC,90,3,MW,2:00 PM,3:20 PM,B313,AMOS OMONDI
96331,CSE,508,Network Security,,LEC,90,3,TUTH,10:30 AM,11:50 AM,B204,Antonino Mione
96330,CSE,522,Special Project in Computer Sc,,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Arthur Lee
95643,CSE,523,Advanced Project in Computer S,,TUT,T91,3,APPT,1:00 AM,1:00 AM,,Arthur Lee
95427,CSE,524,Advanced Project in Computer S,,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Arthur Lee
95660,CSE,534,Fundament of Computer Networks,,LEC,90,3,MW,10:30 AM,11:50 AM,A704,Jihoon Ryoo
96328,CSE,537,Artificial Intelligence,,LEC,90,3,MW,3:30 PM,4:50 PM,A312,Seung Soo Park
96326,CSE,587,Proficiency Requirement,,TUT,T90,3,APPT,1:00 AM,1:00 AM,,Arthur Lee
96327,CSE,587,Proficiency Requirement,,TUT,T91,APPT,1:00 AM,1:00 AM,,Byungkon Kang,
95428,CSE,593,Independent Study in Comp Sci,,TUT,T90,1 to 9,APPT,1:00 AM,1:00 AM,,Arthur Lee
95652,CSE,593,Independent Study in Comp Sci,,TUT,T91,1 to 9,APPT,1:00 AM,1:00 AM,,Byungkon Kang
95661,CSE,593,Independent Study in Comp Sci,,TUT,T93,1 to 9,APPT,1:00 AM,1:00 AM,,Jihoon Ryoo
96325,CSE,596,MS Internship Prog Off-Campus,,TUT,T90,1,APPT,1:00 AM,1:00 AM,,Arthur Lee
